creek,reach,site,riffle,date,site_lngth,riffle_lngth,bf_width,ParticleSize_2_Total,ParticleSize_2_8_Total,ParticleSize_4_Total,ParticleSize_5_6_Total,ParticleSize_8_Total,ParticleSize_11_Total,ParticleSize_16_Total,ParticleSize_22_6_Total,ParticleSize_32_Total,ParticleSize_45_Total,ParticleSize_64_Total,ParticleSize_90_Total,ParticleSize_128_Total,ParticleSize_180_Total,ParticleSize_181_Total
Red Rock Creek,Huntsman to Corral Creek,30,2,8/1/2017 0:00:00,358.00,11.20,9.10,45,10,5,12,11,12,3,2,0,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,30,3,8/1/2017 0:00:00,358.00,11.20,10.00,22,4,2,6,8,11,9,7,11,7,4,7,2,0,0
Red Rock Creek,Huntsman to Corral Creek,30,3,7/9/2014 0:00:00,273.07,27.00,6.90,40,7,13,15,15,8,2,0,0,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,30,3,7/23/2019 0:00:00,358.00,12.00,9.70,53,17,7,4,9,6,4,0,0,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,30,4,8/1/2017 0:00:00,358.00,5.00,8.00,34,3,1,4,5,1,5,5,11,6,9,10,4,1,1
Red Rock Creek,Huntsman to Corral Creek,30,4,7/23/2019 0:00:00,358.00,10.20,8.90,1,52,1,0,1,1,1,8,12,13,5,3,2,0,0
Red Rock Creek,Huntsman to Corral Creek,30,4,7/9/2014 0:00:00,273.07,13.00,7.20,17,1,1,3,8,4,11,11,6,10,9,11,1,5,0
Red Rock Creek,Hellroaring Creek,31,1,7/22/2019 0:00:00,240.00,48.30,4.91,18,7,3,3,6,8,13,10,11,8,5,4,3,1,0
Red Rock Creek,Hellroaring Creek,31,1,7/7/2014 0:00:00,204.70,21.00,5.20,15,0,0,0,4,3,10,13,17,11,14,9,4,0,0
Red Rock Creek,Hellroaring Creek,31,1,8/1/2017 0:00:00,95.00,11.60,5.90,19,2,1,2,1,5,0,11,8,15,16,17,10,3,0
Red Rock Creek,Hellroaring Creek,31,2,7/22/2019 0:00:00,240.00,6.20,3.60,8,3,3,3,5,10,12,16,8,17,9,5,1,0,0
Red Rock Creek,Hellroaring Creek,31,2,7/7/2014 0:00:00,204.70,12.70,4.80,7,1,0,0,1,1,9,6,21,15,16,11,7,4,0
Red Rock Creek,Hellroaring Creek,31,2,8/1/2017 0:00:00,95.00,20.70,5.20,20,2,1,1,2,8,9,9,16,15,16,11,5,2,0
Red Rock Creek,Hellroaring Creek,31,3,8/1/2017 0:00:00,95.00,9.80,6.50,11,7,2,4,2,5,14,14,9,24,14,2,3,0,0
Red Rock Creek,Hellroaring Creek,31,3,7/22/2019 0:00:00,240.00,68.30,5.20,15,4,5,7,10,11,8,7,8,6,4,10,5,0,0
Red Rock Creek,Hellroaring Creek,31,3,7/7/2014 0:00:00,204.70,35.00,5.10,0,0,1,0,1,3,9,15,18,17,15,15,6,0,0
Red Rock Creek,Hellroaring Creek,31,4,7/7/2014 0:00:00,204.70,22.40,5.10,1,0,0,1,2,5,4,19,12,26,16,9,5,0,0
Red Rock Creek,Hellroaring Creek,31,4,8/1/2017 0:00:00,95.00,4.10,5.50,16,2,1,2,1,3,12,10,10,11,15,12,7,0,0
Red Rock Creek,Hellroaring Creek,31,4,7/22/2019 0:00:00,240.00,22.60,5.40,7,7,3,6,7,9,8,13,12,12,5,5,5,0,0
Red Rock Creek,Hellroaring Creek,32,1,7/7/2014 0:00:00,179.57,18.80,4.20,33,1,1,9,6,7,15,13,9,3,3,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,1,7/23/2019 0:00:00,112.00,14.10,4.60,16,5,1,7,8,6,26,14,13,3,1,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,1,8/1/2017 0:00:00,33.00,4.20,4.50,21,0,1,6,7,6,14,23,18,6,2,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,2,8/1/2017 0:00:00,33.00,1.90,4.20,13,4,1,6,8,13,24,15,11,9,1,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,2,7/23/2019 0:00:00,112.00,6.00,4.30,18,5,4,8,7,12,12,18,5,11,0,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,2,7/7/2014 0:00:00,179.57,8.50,5.00,7,0,1,6,13,9,16,19,23,4,2,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,3,7/23/2019 0:00:00,112.00,4.90,4.20,16,6,10,9,8,5,8,16,13,6,3,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,3,7/7/2014 0:00:00,179.57,6.70,4.70,2,4,7,9,9,15,18,16,13,7,0,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,3,8/1/2017 0:00:00,33.00,2.80,3.40,33,3,0,2,4,6,6,9,18,18,5,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,4,7/7/2014 0:00:00,179.57,12.80,4.70,2,1,2,5,15,10,21,22,15,6,1,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,4,7/23/2019 0:00:00,112.00,10.60,5.90,13,5,4,5,15,17,21,10,7,3,0,0,0,0,0
Red Rock Creek,Hellroaring Creek,32,4,8/1/2017 0:00:00,33.00,3.30,4.20,17,4,1,4,4,7,9,13,17,22,8,1,0,0,0
Red Rock Creek,Huntsman to Corral Creek,33,1,7/8/2014 0:00:00,175.00,20.00,5.80,1,0,2,2,1,9,8,20,28,17,8,4,0,0,0
Red Rock Creek,Huntsman to Corral Creek,33,1,8/1/2017 0:00:00,112.00,7.10,6.70,19,2,0,1,4,3,8,14,19,21,7,4,0,1,0
Red Rock Creek,Huntsman to Corral Creek,33,1,7/23/2019 0:00:00,145.00,14.70,6.70,14,1,1,4,4,3,7,11,19,18,17,1,0,0,0
Red Rock Creek,Huntsman to Corral Creek,33,2,7/8/2014 0:00:00,175.00,15.00,6.50,3,0,0,2,5,7,18,25,15,14,8,2,1,0,0
Red Rock Creek,Huntsman to Corral Creek,33,2,8/1/2017 0:00:00,112.00,7.40,6.70,6,5,1,1,3,1,8,13,16,26,12,4,4,0,0
Red Rock Creek,Huntsman to Corral Creek,33,2,7/23/2019 0:00:00,145.00,12.70,7.39,19,2,0,6,4,10,12,16,13,9,6,2,1,0,0
Red Rock Creek,Huntsman to Corral Creek,33,3,8/1/2017 0:00:00,112.00,5.70,6.25,9,1,2,4,2,8,7,14,27,19,8,0,1,0,0
Red Rock Creek,Huntsman to Corral Creek,33,3,7/23/2019 0:00:00,145.00,13.70,5.18,12,2,3,1,2,8,12,12,15,22,10,1,0,0,0
Red Rock Creek,Huntsman to Corral Creek,33,3,7/8/2014 0:00:00,175.00,20.20,4.25,2,0,1,0,8,12,14,13,25,12,8,4,1,0,0
Red Rock Creek,Huntsman to Corral Creek,33,4,7/23/2019 0:00:00,145.00,7.60,6.60,17,6,8,3,3,2,1,4,13,12,22,9,0,0,0
Red Rock Creek,Huntsman to Corral Creek,33,4,8/1/2017 0:00:00,112.00,7.80,7.62,20,1,0,2,4,9,25,16,19,3,1,1,0,0,0
Red Rock Creek,Huntsman to Corral Creek,33,4,7/8/2014 0:00:00,175.00,24.00,4.50,0,0,0,0,2,5,10,10,17,23,23,8,2,0,0
Red Rock Creek,Huntsman to Corral Creek,34,1,8/1/2017 0:00:00,137.87,12.50,12.00,20,5,6,13,15,23,15,3,1,1,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,34,1,7/23/2019 0:00:00,102.00,11.00,13.00,20,0,4,10,12,25,16,11,1,2,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,34,1,7/8/2014 0:00:00,354.20,44.00,15.00,22,3,6,10,19,18,11,4,1,1,0,2,2,0,0
Red Rock Creek,Huntsman to Corral Creek,34,2,7/8/2014 0:00:00,354.20,13.00,8.80,25,2,5,10,25,17,13,1,1,1,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,34,2,8/1/2017 0:00:00,137.87,11.30,16.10,45,1,3,5,12,11,13,1,2,3,3,2,1,0,0
Red Rock Creek,Huntsman to Corral Creek,34,2,7/23/2019 0:00:00,102.00,13.00,11.20,28,1,1,6,12,16,10,7,3,2,2,8,4,0,0
Red Rock Creek,Huntsman to Corral Creek,34,3,8/1/2017 0:00:00,137.87,12.50,10.30,26,3,10,14,18,19,11,2,0,1,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,34,3,7/23/2019 0:00:00,102.00,10.85,10.14,30,3,8,20,20,8,8,4,0,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,34,3,7/8/2014 0:00:00,354.20,14.00,9.00,30,1,2,15,27,18,8,6,1,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,34,4,8/1/2017 0:00:00,137.87,7.50,13.00,63,1,3,6,9,12,6,3,0,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,34,4,7/23/2019 0:00:00,102.00,9.20,9.62,27,4,10,17,17,15,7,3,0,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,34,4,7/8/2014 0:00:00,354.20,24.00,8.00,17,0,5,25,27,17,8,0,1,0,0,0,0,0,0
Elk Creek,Forks to MacDonald Pond,36,1,7/8/2014 0:00:00,127.00,126.80,6.35,10,0,1,4,6,17,19,23,15,3,2,0,0,0,0
Elk Creek,Forks to MacDonald Pond,36,2,7/8/2014 0:00:00,127.00,126.80,13.78,26,1,3,6,11,17,13,10,10,1,2,0,0,0,0
Elk Creek,Forks to MacDonald Pond,36,3,7/8/2014 0:00:00,127.00,126.80,13.40,34,0,0,3,7,14,21,12,6,1,1,0,1,0,0
Elk Creek,Forks to MacDonald Pond,36,4,7/8/2014 0:00:00,127.00,126.80,9.70,52,2,5,6,12,12,6,3,1,1,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,1,7/22/2019 0:00:00,140.00,35.00,7.00,84,3,2,2,4,1,0,0,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,1,7/31/2017 0:00:00,202.00,14.30,8.10,79,1,8,5,5,1,0,1,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,1,7/16/2014 0:00:00,139.91,15.00,8.10,41,11,13,14,17,3,1,0,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,2,7/16/2014 0:00:00,139.91,11.80,7.60,65,13,15,6,0,1,0,0,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,2,7/22/2019 0:00:00,140.00,35.00,6.15,91,1,1,2,2,2,0,1,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,2,7/31/2017 0:00:00,202.00,12.80,8.30,76,3,6,5,6,3,1,0,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,3,7/31/2017 0:00:00,202.00,4.20,8.80,62,4,6,11,11,7,3,1,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,3,7/16/2014 0:00:00,139.91,4.00,7.30,65,11,5,15,2,1,1,0,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,3,7/22/2019 0:00:00,140.00,35.00,8.35,68,5,3,11,7,2,4,0,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,4,7/22/2019 0:00:00,140.00,35.00,6.30,75,3,3,11,8,0,0,0,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,4,7/16/2014 0:00:00,139.91,3.20,9.10,60,12,15,7,8,1,2,0,0,0,0,0,0,0,0
Red Rock Creek,Downstream of Battle Creek,39,4,7/31/2017 0:00:00,202.00,13.70,7.80,70,3,7,9,8,2,1,1,0,0,0,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,1,7/23/2019 0:00:00,124.00,25.10,8.60,7,0,0,0,2,6,16,23,37,15,3,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,1,7/21/2015 0:00:00,161.74,14.90,7.20,18,2,2,9,6,9,12,15,15,12,2,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,1,7/31/2017 0:00:00,178.00,10.50,6.93,20,3,2,3,7,4,4,17,24,17,2,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,2,7/31/2017 0:00:00,178.00,27.20,8.20,10,6,3,9,8,13,18,22,11,4,0,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,2,7/21/2015 0:00:00,161.74,30.68,8.62,7,0,1,4,9,13,24,24,12,4,1,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,2,7/23/2019 0:00:00,124.00,31.00,29.00,15,0,0,4,7,13,16,21,20,4,2,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,3,7/23/2019 0:00:00,124.00,6.00,8.20,32,1,0,2,1,5,12,19,15,5,5,3,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,3,7/21/2015 0:00:00,161.74,10.00,7.20,33,0,1,3,11,14,16,9,8,5,0,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,3,7/31/2017 0:00:00,178.00,8.40,7.15,25,6,4,5,7,8,15,9,17,7,1,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,4,7/21/2015 0:00:00,161.74,20.00,8.90,24,2,0,3,9,9,22,17,6,6,2,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,4,7/23/2019 0:00:00,124.00,11.70,8.00,26,0,2,3,8,10,18,21,13,6,2,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,4,4,7/31/2017 0:00:00,178.00,16.60,8.50,28,4,1,3,15,16,16,12,7,2,0,0,0,0,0
Elk Creek,Restoration,40,1,8/2/2017 0:00:00,52.70,52.70,2.70,20,1,1,1,10,11,20,17,13,10,1,0,0,0,1
Elk Creek,Restoration,40,1,7/23/2019 0:00:00,84.00,7.00,3.30,4,0,2,2,0,6,10,26,43,3,3,0,0,1,0
Elk Creek,Restoration,40,2,7/23/2019 0:00:00,84.00,15.00,3.30,10,0,2,1,10,13,22,15,14,9,1,1,1,0,1
Elk Creek,Restoration,40,2,8/2/2017 0:00:00,52.70,52.70,2.70,51,0,0,0,1,4,14,20,7,6,1,0,0,0,1
Elk Creek,Restoration,40,3,8/2/2017 0:00:00,52.70,52.70,2.70,29,0,0,0,1,5,10,19,21,8,5,1,1,0,0
Elk Creek,Restoration,40,3,7/23/2019 0:00:00,84.00,7.00,3.30,13,1,5,2,11,11,17,14,17,7,1,1,0,0,0
Elk Creek,Restoration,40,4,7/23/2019 0:00:00,84.00,3.80,3.46,20,0,4,4,10,7,19,14,13,7,3,2,1,0,0
Elk Creek,Restoration,40,4,8/2/2017 0:00:00,52.70,52.70,2.70,51,0,0,1,1,6,8,16,15,8,1,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,5,1,8/1/2017 0:00:00,108.00,15.25,10.90,15,4,0,3,1,9,15,18,19,12,6,1,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,5,1,7/23/2019 0:00:00,134.00,15.90,9.98,10,1,0,2,4,10,17,18,24,10,7,0,2,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,5,1,7/21/2015 0:00:00,127.18,18.00,10.20,7,0,3,2,4,5,15,21,21,9,5,3,2,1,0
Red Rock Creek,Antelope Creek to Elk Lake Road,5,2,7/23/2019 0:00:00,134.00,11.10,9.00,19,1,0,3,3,8,10,22,11,15,7,3,1,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,5,2,8/1/2017 0:00:00,108.00,12.00,8.50,4,1,1,4,5,9,26,20,13,10,4,2,0,2,1
Red Rock Creek,Antelope Creek to Elk Lake Road,5,2,7/21/2015 0:00:00,127.18,23.71,6.79,12,0,0,3,3,8,21,17,23,5,2,2,0,2,0
Red Rock Creek,Antelope Creek to Elk Lake Road,5,3,7/21/2015 0:00:00,127.18,5.63,6.83,5,1,0,10,18,11,13,15,11,9,4,3,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,5,3,7/23/2019 0:00:00,134.00,9.00,8.30,14,0,0,4,6,10,19,20,20,4,3,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,5,3,8/1/2017 0:00:00,108.00,8.50,6.50,20,1,0,0,8,10,11,15,13,9,5,2,0,1,1
Red Rock Creek,Antelope Creek to Elk Lake Road,5,4,8/1/2017 0:00:00,108.00,5.60,8.40,26,1,0,1,3,2,11,13,14,16,15,0,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,5,4,7/23/2019 0:00:00,134.00,9.40,7.40,4,1,0,4,5,9,23,22,21,11,1,1,0,0,0
Red Rock Creek,Antelope Creek to Elk Lake Road,5,4,7/21/2015 0:00:00,127.18,18.00,7.00,15,9,2,1,4,15,22,19,5,5,3,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,6,1,7/23/2019 0:00:00,153.00,10.00,11.96,58,0,2,2,4,7,6,7,10,3,1,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,6,1,7/21/2015 0:00:00,577.62,62.00,15.00,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,6,2,7/21/2015 0:00:00,577.62,78.00,16.20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,6,2,7/23/2019 0:00:00,153.00,7.80,8.58,21,1,1,3,7,16,18,19,10,3,1,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,6,3,7/23/2019 0:00:00,153.00,3.80,10.40,31,1,2,7,14,15,17,9,4,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,6,3,7/21/2015 0:00:00,577.62,60.00,15.00,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,6,4,7/21/2015 0:00:00,577.62,44.60,17.80,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,6,4,7/23/2019 0:00:00,153.00,8.00,10.14,20,3,8,6,15,18,18,11,1,0,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,7,1,7/21/2015 0:00:00,176.53,30.00,4.92,20,2,1,3,1,1,11,20,15,20,5,0,1,0,0
Red Rock Creek,Huntsman to Corral Creek,7,1,7/23/2019 0:00:00,177.00,13.30,11.09,12,0,1,2,9,6,9,26,16,11,8,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,7,1,8/1/2017 0:00:00,192.00,15.20,6.50,5,2,0,0,2,2,14,11,14,13,13,7,5,4,14
Red Rock Creek,Huntsman to Corral Creek,7,2,8/1/2017 0:00:00,192.00,8.00,6.20,10,0,0,6,5,16,16,11,14,12,3,7,2,0,4
Red Rock Creek,Huntsman to Corral Creek,7,2,7/21/2015 0:00:00,176.53,7.40,6.50,27,0,4,5,3,12,17,17,8,6,0,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,7,2,7/23/2019 0:00:00,177.00,8.10,4.30,11,1,0,4,1,4,12,20,27,18,2,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,7,3,7/21/2015 0:00:00,176.53,16.00,4.63,5,1,2,4,2,7,12,16,19,12,7,3,2,2,0
Red Rock Creek,Huntsman to Corral Creek,7,3,7/23/2019 0:00:00,177.00,48.00,3.78,21,2,0,3,2,5,9,14,14,16,10,3,1,0,0
Red Rock Creek,Huntsman to Corral Creek,7,3,8/1/2017 0:00:00,192.00,13.50,4.70,14,0,3,2,2,6,10,19,17,23,14,3,0,0,0
Red Rock Creek,Huntsman to Corral Creek,7,4,8/1/2017 0:00:00,192.00,15.00,8.40,24,0,0,2,11,12,14,28,9,5,2,0,0,0,0
Red Rock Creek,Huntsman to Corral Creek,7,4,7/21/2015 0:00:00,176.53,20.93,6.39,4,0,1,0,4,3,9,16,20,15,11,4,5,3,0
Red Rock Creek,Huntsman to Corral Creek,7,4,7/23/2019 0:00:00,177.00,21.60,4.84,16,1,2,1,9,6,12,14,17,15,4,2,1,0,0
Red Rock Creek,Huntsman,8,1,8/1/2017 0:00:00,94.00,12.25,7.80,61,3,4,8,8,12,6,2,1,0,0,0,0,0,0
Red Rock Creek,Huntsman,8,1,7/23/2019 0:00:00,150.00,11.90,7.00,42,3,7,10,9,14,9,4,2,0,0,0,0,0,0
Red Rock Creek,Huntsman,8,1,7/22/2015 0:00:00,170.65,7.05,6.10,63,9,1,3,8,8,7,1,0,0,0,0,0,0,0
Red Rock Creek,Huntsman,8,2,7/23/2019 0:00:00,150.00,16.70,6.89,42,3,6,18,10,11,8,2,1,1,0,0,0,0,0
Red Rock Creek,Huntsman,8,2,7/22/2015 0:00:00,170.65,9.22,6.44,50,9,10,11,5,4,4,6,1,0,0,0,0,0,0
Red Rock Creek,Huntsman,8,2,8/1/2017 0:00:00,94.00,9.20,7.10,42,5,5,9,17,12,14,5,2,0,0,0,0,0,0
Red Rock Creek,Huntsman,8,3,7/22/2015 0:00:00,170.65,9.00,5.10,68,8,1,4,6,5,3,1,4,1,0,0,0,0,0
Red Rock Creek,Huntsman,8,3,7/23/2019 0:00:00,150.00,10.60,7.02,35,0,3,5,5,6,12,14,9,7,3,0,1,0,0
Red Rock Creek,Huntsman,8,3,8/1/2017 0:00:00,94.00,15.00,5.10,64,3,0,3,13,7,4,4,3,2,2,0,0,0,0
Red Rock Creek,Huntsman,8,4,7/22/2015 0:00:00,170.65,5.00,7.00,36,2,2,7,17,16,12,6,3,0,0,0,0,0,0
Red Rock Creek,Huntsman,8,4,8/1/2017 0:00:00,94.00,9.00,6.80,54,2,0,2,5,8,8,13,1,7,2,0,1,0,0
Red Rock Creek,Huntsman,8,4,7/23/2019 0:00:00,150.00,6.00,7.30,26,2,5,8,15,21,14,4,3,2,0,0,0,0,0
Picnic Creek,Culver Pond to Widgeon Pond,9,1,7/20/2015 0:00:00,39.67,9.02,3.82,95,0,0,2,1,1,0,1,0,0,0,0,0,0,0
Picnic Creek,Culver Pond to Widgeon Pond,9,1,8/2/2017 0:00:00,97.00,2.40,3.20,43,18,5,3,3,4,8,8,1,5,2,1,4,1,1
Picnic Creek,Culver Pond to Widgeon Pond,9,1,7/22/2019 0:00:00,40.10,7.90,2.80,74,0,2,2,0,3,0,2,3,1,3,0,5,3,2
Picnic Creek,Culver Pond to Widgeon Pond,9,2,7/22/2019 0:00:00,40.10,4.20,4.30,64,6,15,5,9,1,1,0,0,0,0,0,0,0,0
Picnic Creek,Culver Pond to Widgeon Pond,9,2,8/2/2017 0:00:00,97.00,3.10,3.20,60,16,9,10,2,1,2,1,0,0,0,0,0,0,0
Picnic Creek,Culver Pond to Widgeon Pond,9,2,7/20/2015 0:00:00,39.67,5.62,2.86,91,4,3,1,0,1,0,0,0,0,0,0,0,0,0
Picnic Creek,Culver Pond to Widgeon Pond,9,3,7/20/2015 0:00:00,39.67,8.36,3.74,90,0,5,2,3,0,0,0,0,0,0,0,0,0,0
Picnic Creek,Culver Pond to Widgeon Pond,9,3,8/2/2017 0:00:00,97.00,4.40,3.20,40,22,12,9,3,6,3,5,0,0,0,0,0,0,0
Picnic Creek,Culver Pond to Widgeon Pond,9,3,7/22/2019 0:00:00,40.10,8.20,2.70,85,4,9,2,2,2,0,0,0,0,0,0,0,0,0
Picnic Creek,Culver Pond to Widgeon Pond,9,4,8/2/2017 0:00:00,97.00,5.00,3.20,42,41,9,5,2,1,1,2,0,0,0,0,0,0,0
Picnic Creek,Culver Pond to Widgeon Pond,9,4,7/20/2015 0:00:00,39.67,5.10,2.24,78,8,9,1,3,0,1,0,0,0,0,0,0,0,0
Picnic Creek,Culver Pond to Widgeon Pond,9,4,7/22/2019 0:00:00,40.10,4.40,2.20,90,3,4,1,2,0,1,1,0,0,0,0,0,0,0
